2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,955 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 19:55:00
2025-11-05 21:15:36,955 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 20:00:00
2025-11-05 21:15:36,956 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 20:30:00
2025-11-05 21:15:36,956 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 00:50:00
2025-11-05 21:15:36,956 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 00:55:00
2025-11-05 21:15:36,956 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 02:40:00
2025-11-05 21:15:36,957 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 03:15:00
2025-11-05 21:15:36,957 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 03:20:00
2025-11-05 21:15:36,957 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 03:35:00
2025-11-05 21:15:36,958 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 03:45:00
2025-11-05 21:15:36,958 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 03:50:00
2025-11-05 21:15:36,958 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 05:35:00
2025-11-05 21:15:36,959 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 06:00:00
2025-11-05 21:15:36,959 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 07:10:00
2025-11-05 21:15:36,959 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 07:35:00
2025-11-05 21:15:36,960 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 07:40:00
2025-11-05 21:15:36,960 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 08:30:00
2025-11-05 21:15:36,960 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 08:40:00
2025-11-05 21:15:36,960 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 08:45:00
2025-11-05 21:15:36,961 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 08:50:00
2025-11-05 21:15:36,961 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 08:55:00
2025-11-05 21:15:36,961 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-11 09:00:00
2025-11-05 21:15:36,962 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-11 09:15:00
2025-11-05 21:15:36,962 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-12 03:20:00
2025-11-05 21:15:36,963 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-12 03:30:00
2025-11-05 21:15:36,963 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-12 09:50:00
2025-11-05 21:15:36,963 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-12 12:15:00
2025-11-05 21:15:36,963 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-12 16:35:00
